location2,price
万达大润发,2901.3131672597865
上西园,1696.875
下西园,1775.5555555555557
东方红广场,3100.590570719603
东部,2041.2723404255319
九州,1457.0
二热,1737.142857142857
五泉广场,1785.9138461538462
交大,2286.2162162162163
仁恒美林郡,3984.4666666666667
兰大盘旋路,2063.1381215469614
兰工坪,1440.625
兰炼十字,1119.047619047619
刘家堡,4197.142857142857
北面滩,3842.3423423423424
十里店,2071.7977528089887
吴家园,2353.4523809523807
大沙坪,1825.4464285714287
天鹅湖,1196.875
安宁庭院,2301.875
安宁高新区,1981.098901098901
小西湖,1437.5
师大,2061.1111111111113
幸福巷,3506.25
建工局,1909.2857142857142
文化宫,1886.842105263158
晏家坪,2080.0751879699246
曦华源,2241.4141414141413
段家滩,2114.310344827586
沙井驿街道,1517.142857142857
海关,2785.5
深沟桥,2039.7843137254902
火车站,1950.583038869258
皋兰东区,2043.0555555555557
碧桂园,2704.2168674698796
秀川,2065.0259067357515
莫高大道,2568.5882352941176
西关南关,3312.8622009569376
西固城,1295.3809523809523
西站,4105.178217821782
费家营,1943.2038834951456
郑家庄,1820.6666666666667
金港城,1981.338028169014
雁滩高新区,3438.440860215054
黄河北,3739.6172248803828
龚家湾,1532.6923076923076
