,price
1500,803
2000,626
1800,537
1600,509
1300,411
2500,399
1200,380
1400,356
2200,333
1700,316
2300,246
1000,245
2600,213
3000,206
2100,203
2800,189
1100,181
1900,179
2400,166
3500,99
2700,97
800,86
900,85
3200,82
4500,67
4000,65
5000,56
2900,46
3300,44
3800,42
3600,39
6000,31
4200,30
5500,26
1350,25
700,24
850,24
1650,22
950,21
3100,21
4300,18
3400,18
4800,17
1750,16
10000,15
750,15
7000,15
1250,14
1450,14
6500,14
8000,13
15000,13
1850,13
1150,13
9000,12
600,12
4600,11
3700,10
3900,10
500,10
5200,10
12000,9
13000,8
4100,8
1550,8
11000,8
5600,7
4900,6
7500,6
9500,6
20000,6
550,6
4700,6
650,6
12500,6
1950,6
11500,5
2850,5
5300,5
6800,5
1160,5
5800,4
2650,4
1050,4
7800,3
6300,3
13500,3
2350,3
1180,3
21000,3
7300,3
960,3
2750,3
980,3
1280,3
6600,3
19000,3
30000,3
2050,3
4400,2
14000,2
80000,2
990,2
5100,2
22000,2
12800,2
400,2
5400,2
810,2
8300,2
8500,2
1360,2
6700,2
11600,2
40000,2
18000,2
860,2
2480,2
23000,2
2450,2
7200,2
1480,2
6900,2
58000,2
26460,2
17000,2
7600,2
16000,2
1660,2
1770,1
1794,1
7220,1
2250,1
55000,1
5900,1
3150,1
3650,1
1299,1
3450,1
30400,1
106000,1
2950,1
30600,1
1699,1
3750,1
63700,1
31000,1
1499,1
1899,1
47500,1
2150,1
30800,1
3850,1
1670,1
1799,1
80500,1
3950,1
8100,1
7920,1
7900,1
14500,1
31500,1
12326,1
61800,1
1610,1
1380,1
18500,1
10200,1
1980,1
1948,1
1880,1
1760,1
1680,1
9800,1
190000,1
1580,1
26040,1
34200,1
26000,1
1340,1
10500,1
1288,1
1276,1
1260,1
34000,1
1220,1
1088,1
9200,1
7119,1
13130,1
8900,1
8888,1
25000,1
8600,1
35000,1
27000,1
5700,1
450,1
87600,1
13800,1
21840,1
1330,1
1266,1
38000,1
21600,1
1030,1
13300,1
37600,1
29400,1
37500,1
630,1
152000,1
2580,1
41000,1
4260,1
8250,1
20520,1
3980,1
53000,1
110000,1
3280,1
1229,1
36000,1
3180,1
19300,1
60000,1
1999,1
