location2,price
万博,7283.942701227831
万胜围,9492.676954732511
万顷沙,3450.0
三元里,2703.90625
东圃,3653.9584487534626
东塱,1983.2690355329948
东山口,5862.248995983936
东川路,4205.577922077922
东平,7271.111111111111
东怡新区,2615.862068965517
东晓南,3429.0361445783133
东晓路,3592.394366197183
东涌,2200.0
东湖,4926.388888888889
东风东,6558.0722891566265
东风西,3401.451612903226
中大,3579.1428571428573
中山八,3923.734939759036
中新镇,2836.5546218487393
二沙岛,43333.333333333336
五山,4572.888888888889
五羊新城,6414.719387755102
亚运城,3223.186813186813
亚运大道中,14182.432432432432
京溪,3206.082474226804
人和,4403.977272727273
人民北,14300.0
人民路,3358.4591836734694
会江,3731.132075471698
体育中心,6051.666666666667
元下田,3213.3802816901407
公园前,5205.321100917431
农讲所,3926.61797752809
凤凰城,3472.59009009009
前进路,3280.2
北京路,4340.988805970149
北兴镇,6360.869565217391
华南新城,4505.294117647059
华南碧桂园,13948.75
华景新城,4924.267241379311
南岸路,3318.4848484848485
南村,5889.024390243902
南沙区府,3810.361581920904
南沙港,4384.560810810811
南沙湾,2617.877192982456
南洲,3642.1666666666665
南浦,4401.72030651341
南湖,8222.047008547008
厦滘,13757.232704402515
同和,3658.684375
同德围,2087.7464788732395
同福,2779.03007518797
员村,3881.0215311004786
周门,3497.4461538461537
和平西,3824.226804123711
嘉禾望岗,4668.972067039106
国际创新城,3853.5945945945946
坑口,2935.7954545454545
增城区府,2527.2727272727275
增城碧桂园,1826.4102564102564
夏园,3078.590308370044
夏茅,2790.0
大坦沙,3041.340206185567
大学城,4032.5813953488373
大岗镇,2381.818181818182
大沙地,3888.2135416666665
大石,3419.6666666666665
大金钟路,3137.5
天河公园,4330.511111111111
天河南,5067.160465116279
天河客运站,4155.827814569537
天润路,5844.771626297578
太和,2985.714285714286
太平镇,2208.468899521531
宝岗,3164.9108280254777
客村,5330.821052631579
富豪山庄,5601.555555555556
小北,3847.974683544304
小楼镇,1000.0
山前大道,3500.0
岑村,5060.714285714285
工业大道中,3179.663129973475
工业大道北,4443.218181818182
工业大道南,4190.867924528302
市桥,2401.858695652174
市桥东,2654.0476190476193
市桥北,3006.1171171171172
广州南站,2676.089552238806
广州大道南,4320.701754385965
广钢新城,4829.939759036145
建设路,4434.793918918919
开发东区,2878.2608695652175
开发西区,1995.8333333333333
文冲,2696.396153846154
新区,2976.6467065868264
新城片区,2133.3333333333335
新塘北,2451.64744645799
新塘南,2574.8582089552237
新市,2859.486646884273
新港西,3874.201612903226
旧区,2201.7041800643087
旧城区,1133.3333333333333
旺城片区,1300.0
昌岗,3470.179211469534
明珠湾,4449.961397058823
星河湾,8580.645161290322
景泰,2520.050314465409
智慧城,3040.4568245125347
朱村,2218.3149492017415
机场路,2943.2196162046907
杨箕,5544.41628959276
林和,5956.476454293629
桂花岗,2686.965811965812
桥南,2970.205479452055
梅花园,3392.10843373494
棠下,3729.797953964194
榄核镇,2257.222222222222
横沥,2894.1176470588234
水荫,5396.227272727273
永和,2381.6129032258063
永泰,11262.962962962964
汇景新城,22831.70731707317
汉溪长隆,6396.350993377483
江南大道中,3307.8333333333335
江南西,4448.482758620689
江夏,3783.3333333333335
江浦街,2081.651376146789
江燕路,3406.7010869565215
江高镇,2666.6666666666665
汾水,2520.3125
沙园,2858.9285714285716
沙太北,12232.586206896553
沙太南,4539.860627177701
沙村,2287.3611111111113
沙河,3280.418410041841
沙湾,2966.0714285714284
沙面,18428.571428571428
沥滘,4089.3939393939395
河滨北路,4257.142857142857
洛溪,3410.705882352941
