,price
3000,2329
2500,2291
2000,1993
3500,1561
2800,1536
4500,1298
4000,1289
1500,1226
1800,1191
2300,1162
5000,1133
2600,1127
2200,1113
3800,1078
3200,1071
1600,792
3300,790
5500,758
3600,733
4200,692
1700,586
6000,584
4800,548
2400,519
2700,516
2100,508
1300,503
6500,470
4300,444
1200,422
1000,418
7000,418
1900,409
2900,374
7500,341
8000,339
3700,324
5200,307
3100,289
1400,289
5800,287
3400,264
4600,258
10000,252
6800,248
8500,218
3900,217
9000,204
5300,193
12000,193
800,178
1100,165
11000,163
4100,153
4700,144
15000,136
6200,136
5600,127
9500,110
13000,110
7800,109
6300,108
20000,101
900,99
18000,93
1360,82
25000,80
1460,76
1560,74
1430,74
1330,73
7200,73
1590,72
1490,72
16000,71
1660,69
8800,68
4400,67
1530,67
1390,63
4900,63
1690,62
1260,59
1730,59
6600,56
1850,53
30000,53
7300,52
1630,51
1950,50
1760,49
2350,48
1650,48
5100,48
1990,47
1160,47
14000,45
9800,44
2380,44
5700,43
5400,43
5900,43
1450,43
1230,43
1890,42
1860,42
2090,42
1290,41
35000,41
3088,41
2880,41
1830,40
1790,40
7600,40
1350,39
1090,38
2060,37
28000,36
1960,35
2450,35
2130,35
1930,34
1130,34
22000,34
23000,34
11500,33
2160,33
1060,33
50000,33
1190,33
2230,31
8200,30
1550,29
2190,28
1030,26
950,26
12500,26
2650,26
45000,25
6900,25
6400,24
3970,24
26000,24
21000,23
8300,23
2680,23
40000,23
2180,22
10500,22
19000,22
2290,21
17000,21
2530,21
990,21
13500,21
2460,21
2750,20
2250,20
1750,20
2260,20
2760,19
2550,19
6700,19
38000,19
2950,19
46000,18
9200,18
3150,18
13800,18
2660,18
2360,17
2030,17
1380,17
1980,17
2080,16
850,16
3770,16
12800,15
4050,15
14500,15
2430,14
2490,14
2850,14
9300,14
1280,14
1580,13
2150,13
2560,13
24000,13
32000,13
6100,13
70000,13
8600,12
33000,12
1150,12
1680,12
2050,12
960,12
3650,12
2690,12
2590,12
3450,12
2980,11
11800,11
16500,11
1250,11
2330,11
3090,11
2390,11
65000,11
4150,10
3850,10
7400,10
27000,10
2730,10
7900,10
3550,10
8900,10
2780,10
60000,10
3980,9
2480,9
930,9
55000,9
2790,9
3750,9
4980,9
8700,8
4380,8
10800,8
1480,8
4020,8
36000,8
2280,8
2999,8
58000,8
2960,7
3350,7
1050,7
2630,7
3190,7
3890,7
3680,7
16800,7
1780,7
3950,7
4350,7
3280,7
3480,7
2830,7
1880,7
4120,7
7700,7
23800,7
3050,6
3250,6
48000,6
39000,6
43000,6
4250,6
3098,6
3940,6
19800,6
100000,5
80000,5
150000,5
4248,5
2575,5
3399,5
3260,5
3820,5
7100,5
3380,5
18800,5
4680,5
4170,5
3999,5
9900,5
15500,5
5605,5
14800,5
3690,5
2888,5
3230,4
13200,4
19500,4
29000,4
44000,4
42000,4
