location2,price
万象城,8851.786096256685
上下沙,7356.367441860465
上塘,7302.0306748466255
上步,5310.556390977444
东门,6116.786096256685
丹竹头,2997.0243902439024
八卦岭,4237.0901639344265
公明,4319.610204081632
前海,8122.159456118665
华侨城,17269.822164948455
华强北,7000.594479830149
华强南,6685.491329479769
南头,5051.510869565217
南山中心,5494.403470715835
后海,6529.292857142857
园岭,4448.823529411765
地王,5409.412416851441
坂田,5671.944206008584
坪地,3571.153846153846
坪山,3946.9647696476964
大学城,7064.939759036145
大运新城,4677.430839002268
大鹏半岛,6033.911764705882
宝安中心,7917.012605042017
布吉关,4532.417021276596
布吉南岭,4305.454545454545
布吉大芬,3366.902654867257
布吉水径,3787.684210526316
布吉石芽岭,6960.377358490566
布吉街,4266.833333333333
布心,5039.378238341969
平湖,5664.047619047619
新安,5879.44921875
新洲,5323.777126099707
新秀,4651.170212765957
春风路,5045.9375
景田,7243.368421052632
曦城,27385.4
松岗,3809.5890410958905
桃源居,6020.212765957447
梅林,5983.911849710983
梅林关,10320.247863247863
梅沙,7890.40206185567
横岗,4774.127413127413
民治,5257.2
沙井,4533.668918918919
沙头角,6882.631578947368
沙尾,7801.830985915493
洪湖,3968.095238095238
深圳湾,44406.503703703704
清水河,3162.3456790123455
白石洲,5530.9375
百仕达,5819.820627802691
百花,9656.341463414634
皇岗,6597.877917414722
盐田港,4879.811320754717
石厦,6670.893656716418
石岩,3475.037037037037
碧海,5199.158415841584
福永,4118.660649819494
福田中心,10561.338521400778
福田保税区,5476.791443850268
科技园,8264.290598290598
竹子林,7752.251028806584
笋岗,4736.153846153846
红山,6395.741818181818
红树湾,24589.830508474577
罗湖口岸,4201.615384615385
翠竹,4523.918918918919
翻身,4189.80412371134
莲塘,5848.745644599303
莲花,9818.872549019608
蛇口,13353.009174311926
螺岭,3715.367491166078
西丽,5565.229357798165
西乡,4730.313636363637
观澜,15310.381642512077
赤尾,5026.596638655462
车公庙,6940.557768924303
银湖,10324.605263157895
香梅北,6163.11475409836
香蜜湖,22455.801369863013
黄木岗,11225.0
黄贝岭,6966.177606177606
龙华中心,5200.777173913043
龙华新区,6286.475
龙岗中心城,3984.6641711229945
龙岗双龙,3811.940928270042
龙岗宝荷,4562.068965517241
