,price
5000,854
5500,717
4500,652
6500,614
6000,604
4000,591
3000,565
3500,514
7000,486
7500,407
8000,401
3800,397
4200,387
2500,349
5800,349
4800,334
2800,331
5200,319
3200,314
4300,295
3600,288
6800,287
5300,261
2000,260
8500,256
12000,255
10000,249
9000,239
2300,230
2600,230
3300,221
6200,205
2200,203
4600,200
1800,197
13000,195
15000,194
7800,170
6300,162
9500,160
11000,160
5600,158
7200,148
20000,145
2700,142
1590,136
18000,134
1690,129
2400,128
3700,119
6600,118
3400,117
16000,117
7300,114
3900,114
1890,113
8800,107
1630,106
1730,106
1790,105
25000,104
2100,102
14000,100
1990,98
2900,97
1490,95
1830,89
1430,88
1530,87
4100,87
1930,84
2090,79
3100,78
17000,77
4700,77
28000,74
5700,74
22000,74
30000,73
1500,73
5400,73
2230,72
2290,71
1900,71
4900,68
23000,68
2390,65
2190,65
1390,64
1600,63
10500,60
8200,60
35000,60
19000,59
2130,59
5900,58
2060,57
7600,55
5100,55
12500,54
2030,52
1660,51
13500,50
1700,48
1290,48
8600,47
9800,47
2630,46
2330,46
6400,45
8300,45
1860,45
6900,45
2160,44
2490,43
2260,43
2360,42
9200,41
1330,41
1760,40
1460,40
21000,40
6700,39
1960,39
26000,38
14500,38
4400,38
2590,38
1230,36
1190,36
11500,36
45000,35
9300,35
1560,34
5399,34
2530,34
24000,32
1400,32
2460,32
50000,32
2890,32
2430,32
32000,29
2730,29
1300,28
2690,27
2790,27
15500,27
2560,27
7700,26
38000,26
60000,25
40000,24
1260,23
1360,23
2680,23
16500,22
3290,22
2480,22
33000,22
27000,21
1090,21
6199,20
55000,20
6100,20
1980,20
3090,18
2990,18
1880,18
2980,18
9600,17
70000,17
7100,17
2660,17
2380,17
3390,17
100000,16
3030,16
10800,16
17500,16
13800,16
7400,16
2960,15
2999,15
2860,15
2760,15
8900,15
36000,14
3060,14
2280,14
1130,14
2580,14
2880,14
3330,14
3230,14
65000,13
16800,13
150000,13
2830,13
1650,13
42000,13
18500,12
3130,12
3460,12
29000,12
11800,12
15800,12
3690,12
3160,11
3590,11
4090,11
1580,11
1680,11
3190,10
9900,10
1200,10
2930,10
1850,10
3680,10
1100,10
2780,10
7900,10
3660,10
3530,10
1450,9
80000,9
2250,9
1780,9
3890,9
8400,9
